X2,X4,X6,X8,X9_encoded,X10_encoded,X11_encoded,X3_encoded,X5_encoded,X7_encoded,Y
9.3,0.016047301,249.8092,1999.0,2.0,1.0,2.0,0.0,4.0,9.0,8.23
5.92,0.019278216,48.2692,2009.0,2.0,3.0,3.0,1.0,14.0,3.0,6.09
17.5,0.016760075,141.618,1999.0,2.0,1.0,2.0,0.0,10.0,9.0,7.65
19.2,0.0,182.095,1998.0,1.0,3.0,1.0,1.0,6.0,0.0,6.6
8.93,0.0,53.8614,1987.0,3.0,3.0,2.0,0.0,9.0,1.0,6.9
10.395,0.0,51.4008,2009.0,2.0,3.0,3.0,1.0,0.0,3.0,6.32
13.65,0.0127410889999999,57.6588,1987.0,3.0,3.0,2.0,1.0,13.0,1.0,5.84
12.3,0.127469857,107.7622,1985.0,2.0,3.0,4.0,0.0,13.0,5.0,8.3
16.2,0.016687114,96.9726,2002.0,1.0,2.0,2.0,1.0,5.0,7.0,6.98
19.2,0.09444959,187.8214,2007.0,2.0,2.0,2.0,1.0,5.0,2.0,8.46
11.8,0.0,45.5402,1999.0,2.0,1.0,2.0,0.0,6.0,9.0,7.32
18.5,0.045463773,144.1102,1997.0,1.0,1.0,2.0,1.0,4.0,8.0,7.69
15.1,0.1000135,145.4786,1999.0,2.0,1.0,2.0,1.0,6.0,9.0,7.37
17.6,0.047257328,119.6782,1997.0,1.0,1.0,2.0,1.0,13.0,8.0,7.67
16.35,0.0680243,196.4426,1987.0,3.0,3.0,2.0,0.0,6.0,1.0,7.59
9.0,0.0690889609999999,56.3614,1997.0,1.0,1.0,2.0,1.0,2.0,8.0,7.34
11.8,0.008596051,115.3492,2009.0,2.0,3.0,3.0,0.0,8.0,3.0,7.39
9.0,0.0691963759999999,54.3614,1999.0,2.0,1.0,2.0,1.0,2.0,9.0,6.58
9.8,0.034237682,113.2834,1985.0,2.0,3.0,4.0,0.0,7.0,5.0,7.74
13.35,0.10249212,230.5352,2004.0,1.0,2.0,2.0,0.0,4.0,6.0,7.92
18.85,0.138190277,250.8724,1987.0,3.0,3.0,2.0,1.0,13.0,1.0,8.24
8.315,0.035399923,144.5444,1985.0,2.0,3.0,4.0,1.0,0.0,5.0,8.31
14.6,0.0256981339999999,196.5084,2004.0,1.0,2.0,2.0,0.0,9.0,6.0,7.37
15.5,0.057556998,107.6938,1985.0,1.0,1.0,1.0,0.0,0.0,4.0,5.37
13.85,0.025896485,165.021,1997.0,1.0,1.0,2.0,1.0,5.0,8.0,8.31
13.0,0.099887103,45.906000000000006,2007.0,2.0,2.0,2.0,0.0,9.0,2.0,6.73
7.645,0.066693437,42.3112,2004.0,1.0,2.0,2.0,1.0,13.0,6.0,6.97
11.65,0.0193561319999999,39.1164,1987.0,3.0,3.0,2.0,0.0,7.0,1.0,5.73
5.925,0.161466534,45.5086,1998.0,1.0,3.0,1.0,1.0,4.0,0.0,5.18
11.15,0.072221801,43.6454,1985.0,1.0,1.0,1.0,1.0,3.0,4.0,4.83
19.25,0.170348551,55.7956,1998.0,1.0,3.0,1.0,0.0,4.0,0.0,5.1
18.6,0.080829372,96.4436,2009.0,2.0,3.0,3.0,0.0,8.0,3.0,7.92
18.7,0.0,256.6672,2009.0,2.0,3.0,3.0,0.0,13.0,3.0,8.03
17.85,0.0,93.1436,2002.0,1.0,2.0,2.0,0.0,1.0,7.0,7.68
17.5,0.097904029,174.8738,1997.0,1.0,1.0,2.0,0.0,14.0,8.0,7.64
10.0,0.0892911369999999,146.7102,1999.0,2.0,1.0,2.0,0.0,8.0,9.0,8.24
19.85,0.059511812,128.0678,1985.0,2.0,3.0,4.0,1.0,6.0,5.0,7.94
8.85,0.113123893,122.5388,2009.0,2.0,3.0,3.0,1.0,14.0,3.0,7.38
16.75,0.123111453,36.9874,1985.0,2.0,3.0,4.0,1.0,13.0,5.0,5.96
5.73,0.0264809539999999,87.6198,1985.0,2.0,3.0,4.0,0.0,13.0,5.0,7.69
13.35,0.102511504,230.6352,1997.0,1.0,1.0,2.0,0.0,4.0,8.0,8.14
9.8,0.02681843,126.002,1987.0,3.0,3.0,2.0,0.0,10.0,1.0,7.67
13.6,0.117818348,192.9136,1999.0,2.0,1.0,2.0,0.0,13.0,9.0,7.83
21.35,0.0691028309999999,259.9278,2009.0,2.0,3.0,3.0,0.0,3.0,3.0,8.82
12.15,0.042277867,126.5046,1987.0,3.0,3.0,2.0,1.0,3.0,1.0,5.92
6.42,0.0894989259999999,178.1002,1998.0,1.0,3.0,1.0,0.0,4.0,0.0,5.88
19.6,0.0,153.3024,2002.0,1.0,2.0,2.0,0.0,8.0,7.0,7.8
10.0,0.025879577,265.2226,2002.0,1.0,2.0,2.0,0.0,3.0,7.0,8.67
15.85,0.121632721,60.622,1997.0,1.0,1.0,2.0,1.0,0.0,8.0,7.85
18.25,0.255394896,196.8794,1985.0,1.0,1.0,1.0,1.0,4.0,4.0,6.66
7.39,0.067779712,143.8812,1997.0,1.0,1.0,2.0,0.0,8.0,8.0,8.05
10.195,0.159803853,141.5154,1987.0,3.0,3.0,2.0,0.0,5.0,1.0,6.75
9.895,0.028696932,117.0492,1987.0,3.0,3.0,2.0,1.0,3.0,1.0,6.7
10.895,0.065041581,196.3794,2007.0,2.0,2.0,2.0,0.0,6.0,2.0,8.05
12.15,0.0287600129999999,151.4708,2007.0,2.0,2.0,2.0,0.0,9.0,2.0,8.48
7.905,0.010053105,249.0408,2009.0,2.0,3.0,3.0,0.0,13.0,3.0,8.74
9.195,0.048157338,106.1622,2002.0,1.0,2.0,2.0,0.0,9.0,7.0,7.66
8.365,0.071958197,38.0506,1999.0,2.0,1.0,2.0,0.0,7.0,9.0,6.68
15.1,0.1734813039999999,194.511,1997.0,1.0,1.0,2.0,0.0,13.0,8.0,8.5
12.0,0.061082177,180.0344,1985.0,1.0,1.0,1.0,0.0,3.0,4.0,6.79
10.0,0.0,246.9144,2009.0,2.0,3.0,3.0,0.0,6.0,3.0,8.07
7.97,0.040071131,87.3514,2002.0,1.0,2.0,2.0,1.0,10.0,7.0,6.97
18.2,0.012090074,38.2848,1985.0,2.0,3.0,4.0,0.0,6.0,5.0,6.18
14.0,0.15028599,51.0692,1985.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0
15.1,0.0260155189999999,255.8356,1985.0,2.0,3.0,4.0,0.0,13.0,5.0,7.84
17.7,0.195068226,185.4266,1998.0,1.0,3.0,1.0,0.0,13.0,0.0,5.22
19.35,0.033082215,172.5738,2004.0,1.0,2.0,2.0,0.0,10.0,6.0,8.49
13.65,0.078946455,186.024,2002.0,1.0,2.0,2.0,1.0,4.0,7.0,7.02
17.6,0.041700756,164.8526,2002.0,1.0,2.0,2.0,0.0,14.0,7.0,7.74
8.645,0.143422643,95.841,1997.0,1.0,1.0,2.0,0.0,8.0,8.0,7.61
15.6,0.1052960719999999,170.1764,1997.0,1.0,1.0,2.0,1.0,13.0,8.0,8.14
15.85,0.121531501,59.222,1987.0,3.0,3.0,2.0,1.0,0.0,1.0,6.4
18.25,0.0,164.7526,2002.0,1.0,2.0,2.0,0.0,15.0,7.0,8.43
7.855,0.011324862,189.6188,2007.0,2.0,2.0,2.0,0.0,3.0,2.0,7.73
7.825,0.186357148,254.3698,1999.0,2.0,1.0,2.0,0.0,9.0,9.0,8.63
8.39,0.024205661,114.0176,1997.0,1.0,1.0,2.0,1.0,5.0,8.0,7.74
12.85,0.033230816,172.3422,1999.0,2.0,1.0,2.0,0.0,13.0,9.0,7.1
20.85,0.113720344,89.9804,1985.0,1.0,1.0,1.0,0.0,0.0,4.0,6.47
19.0,0.1125565069999999,104.9622,2007.0,2.0,2.0,2.0,0.0,5.0,2.0,7.37
5.905,0.0,222.5456,2002.0,1.0,2.0,2.0,0.0,3.0,7.0,8.58
7.76,0.0593522409999999,101.87,1997.0,1.0,1.0,2.0,0.0,13.0,8.0,7.44
11.8,0.014087057,180.3344,1997.0,1.0,1.0,2.0,1.0,5.0,8.0,7.26
16.75,0.045230944,187.9556,2009.0,2.0,3.0,3.0,0.0,13.0,3.0,8.45
18.85,0.293417759,194.6136,1985.0,1.0,1.0,1.0,0.0,9.0,4.0,6.37
12.6,0.031382044,171.3764,1985.0,2.0,3.0,4.0,1.0,0.0,5.0,8.04
15.5,0.12639886,177.0028,2007.0,2.0,2.0,2.0,1.0,6.0,2.0,7.82
6.055,0.0254038979999999,160.99200000000002,2004.0,1.0,2.0,2.0,0.0,6.0,6.0,7.91
6.55,0.039057677,155.963,1985.0,2.0,3.0,4.0,1.0,2.0,5.0,8.1
6.305,0.123115764,95.6436,1997.0,1.0,1.0,2.0,1.0,13.0,8.0,6.49
20.85,0.039624006,117.2808,1999.0,2.0,1.0,2.0,0.0,10.0,9.0,7.33
20.75,0.040421193,122.173,1998.0,1.0,3.0,1.0,0.0,6.0,0.0,5.91
8.895,0.1052741109999999,39.9138,1999.0,2.0,1.0,2.0,0.0,4.0,9.0,6.54
19.6,0.033970195,55.1614,2002.0,1.0,2.0,2.0,0.0,14.0,7.0,7.23
19.7,0.053212652,57.893,2004.0,1.0,2.0,2.0,0.0,6.0,6.0,6.43
9.8,0.024378706,114.5492,2004.0,1.0,2.0,2.0,0.0,8.0,6.0,7.15
5.765,0.009714595,120.0414,1985.0,1.0,1.0,1.0,0.0,5.0,4.0,6.19
12.15,0.131383762,246.046,1999.0,2.0,1.0,2.0,0.0,5.0,9.0,7.12
8.75,0.07461309,187.4556,2004.0,1.0,2.0,2.0,1.0,6.0,6.0,8.23
